origin,dest,distance,ori_lon,ori_lat,ori_alt,dest_lon,dest_lat,dest_alt,theory_dist,round,episoid,flat
EWR,IAH,1400,-74.168667,40.6925,18,-95.341442,29.984433,97,2252600,2253069.71322694,2252783.30051956,2521413.40705901
LGA,IAH,1416,-73.872608,40.777245,22,-95.341442,29.984433,97,2278344,2279684.37427227,2279424.63947272,2551236.82654605
JFK,MIA,1089,-73.778925,40.639751,13,-80.290556,25.79325,8,1752201,1759077.112092,1753585.82626834,1797473.18907991
LGA,ATL,762,-73.872608,40.777245,22,-84.428067,33.636719,1026,1226058,1226238.2906601,1225548.88305693,1338419.84018887
EWR,ORD,719,-74.168667,40.6925,18,-87.904842,41.978603,668,1156871,1155753.22547233,1157377.21326234,1301958.95291109
EWR,FLL,1065,-74.168667,40.6925,18,-80.15275,26.072583,9,1713585,1718760.10601454,1713324.0559155,1751432.09895323
LGA,IAD,229,-73.872608,40.777245,22,-77.455811,38.944533,313,368461,367875.945497964,367935.265769863,403754.714458127
JFK,MCO,944,-73.778925,40.639751,13,-81.308994,28.429394,96,1518896,1523087.42200524,1519218.07600635,1578461.03587288
LGA,ORD,733,-73.872608,40.777245,22,-87.904842,41.978603,668,1179397,1178375.26806212,1180045.025888,1327436.89111511
JFK,PBI,1028,-73.778925,40.639751,13,-80.095589,26.683161,19,1654052,1658995.92478871,1653965.45588343,1696348.60918151
JFK,TPA,1005,-73.778925,40.639751,13,-82.53325,27.975472,26,1617045,1621337.66574398,1617467.61811744,1692640.41430292
JFK,LAX,2475,-73.778925,40.639751,13,-118.408075,33.942536,126,3982275,3978651.98940493,3982943.54224213,4503715.68775828
EWR,SFO,2565,-74.168667,40.6925,18,-122.374889,37.618972,13,4127085,4123008.86525694,4128396.99547547,4628180.31810053
LGA,DFW,1389,-73.872608,40.777245,22,-97.037997,32.896828,607,2234901,2233857.83826035,2235067.40829249,2524269.2259958
JFK,BOS,187,-73.778925,40.639751,13,-71.005181,42.364347,19,300883,300524.184186763,300504.81012489,323875.732774201
EWR,LAS,2227,-74.168667,40.6925,18,-115.15225,36.080056,2141,3583243,3580031.3913282002,3584350.06419163,4046886.9904452
LGA,FLL,1076,-73.872608,40.777245,22,-80.15275,26.072583,9,1731284,1736521.49658753,1731105.56985569,1772134.69771301
EWR,PBI,1023,-74.168667,40.6925,18,-80.095589,26.683161,19,1646007,1652230.89697286,1647121.16718691,1685032.10684568
LGA,MSP,1020,-73.872608,40.777245,22,-93.221767,44.881956,841,1641180,1639898.13170445,1641979.17413942,1819413.07735673
LGA,DTW,502,-73.872608,40.777245,22,-83.353389,42.212444,645,807718,806034.296805545,807101.903162928,905529.493462063
EWR,MIA,1085,-74.168667,40.6925,18,-80.290556,25.79325,8,1745765,1752551.48494675,1746981.65897709,1786386.80420961
JFK,ATL,760,-73.778925,40.639751,13,-84.428067,33.636719,1026,1222840,1223453.73387424,1222831.17862077,1338380.8316989
JFK,SFO,2586,-73.778925,40.639751,13,-122.374889,37.618972,13,4160874,4156428.16333914,4161859.08089546,4665201.28956168
JFK,RSW,1074,-73.778925,40.639751,13,-81.755167,26.536167,30,1728066,1733580.89137921,1728763.72143888,1791316.69294942
EWR,ATL,746,-74.168667,40.6925,18,-84.428067,33.636719,1026,1200314,1200658.3415841,1199938.3994904,1309328.71680661
EWR,PHX,2133,-74.168667,40.6925,18,-112.011583,33.434278,1135,3431997,3429172.70579939,3432528.02199016,3893104.48968092
LGA,MIA,1096,-73.872608,40.777245,22,-80.290556,25.79325,8,1763464,1770355.93871204,1764806.46115963,1807159.68916792
EWR,MSP,1008,-74.168667,40.6925,18,-93.221767,44.881956,841,1621872,1620537.92143221,1622559.33406067,1797444.21434958
